model,evaluation,training_scope,n,prevalence,threshold,accuracy,precision,recall,f1,f2,average_precision_sklearn,roc_auc,brier,confusion_matrix_tn_fp_fn_tp,false_positive_fraction_of_negative_samples,false_negative_samples,false_positive_samples,iou,dice,newly_active_n,newly_active_precision,newly_active_recall,newly_active_average_precision_sklearn,newly_active_iou,newly_active_dice
extra_trees,all_valid_test_map_pixels,239001 sampled training pixels,6727699,0.012534894917266661,0.06985273379392962,0.9662230727028661,0.2000914982204016,0.5653081310550094,0.2955667773344865,0.41413009486083596,0.20731505300893438,0.7923500280034074,0.0107275896311231,"[6452785, 190583, 36658, 47673]",0.028687707801223716,36658,190583,0.173410593858443,0.2955667773344865,6589342,0.14184744133576604,0.40562559662925046,0.09546211149262213,0.1174376715462031,0.2101910013176916
unet,all_valid_test_map_pixels,14979 training scenes,6727699,0.012534894917266661,0.4495303297042897,0.9636944221196578,0.19245296081478178,0.5933405272082627,0.290636517031775,0.4188458447733208,0.25389755533222835,0.9146589140215301,0.023628528567002358,"[6433409, 209959, 34294, 50037]",0.031604300710121734,34294,209959,0.17002616466750484,0.290636517031775,6589342,0.13742697440506546,0.44795747062115276,0.13883250516967283,0.11752336045045512,0.21032823940804854
persistence,all_valid_test_map_pixels,baseline,6727699,0.012534894917266661,0.5,0.9847311837226963,0.3571949874998059,0.27277039285671933,0.30932562361325894,0.28630424446695857,0.10654796377303914,0.6332696080701654,0.015268816277303726,"[6601972, 41396, 61328, 23003]",0.006231176716388434,61328,41396,0.18295990519140679,0.30932562361325894,6589342,0.0,0.0,0.009220647524441742,0.0,0.0
