n,prevalence,threshold,accuracy,precision,recall,f1,f2,average_precision_sklearn,roc_auc,brier,confusion_matrix_tn_fp_fn_tp,false_alert_rate_per_background_day,missed_events,false_alerts,iou,dice,newly_active,run_id,model,training_rows,training_scope,validation_rows,duration_seconds,seed,calibration_note
296878,0.01358807321526014,0.8482312977718958,0.9682394788431612,0.19714831031772764,0.43529995042141795,0.2713855188934395,0.3505969732060855,0.1375591139015875,0.7331469000499077,0.12393270451208281,"[285693, 7151, 2278, 1756]",0.024419144664053215,2278,7151,0.15699597675458202,0.2713855188934395,"{'n': 293943, 'prevalence': 0.011165430032353211, 'threshold': 0.8482312977718958, 'accuracy': 0.9748420612159501, 'precision': 0.1644640234948605, 'recall': 0.3071297989031079, 'f1': 0.2142174051641696, 'f2': 0.2617230098146129, 'average_precision_sklearn': 0.07736196455794983, 'roc_auc': 0.677658918433915, 'brier': 0.11858574106040191, 'confusion_matrix_tn_fp_fn_tp': [285540, 5121, 2274, 1008], 'false_alert_rate_per_background_day': 0.017618462745259942, 'missed_events': 2274, 'false_alerts': 5121}",wildfire-screen-extra_trees-s42,extra_trees,150000,capped_150000,296878,4.981019699998797,42,screen probabilities are uncalibrated; threshold selected on validation F2
296878,0.01358807321526014,0.8322888322644056,0.9682057949730192,0.19658695408105983,0.4340604858701041,0.2706127810833784,0.34959869025276524,0.1413767903461022,0.7574328773170602,0.11275352685331755,"[285688, 7156, 2283, 1751]",0.0244362186010299,2283,7156,0.15647899910634494,0.2706127810833784,"{'n': 293943, 'prevalence': 0.011165430032353211, 'threshold': 0.8322888322644056, 'accuracy': 0.9748590713165478, 'precision': 0.16426936907486106, 'recall': 0.3062157221206581, 'f1': 0.21382978723404256, 'f2': 0.2610932141743739, 'average_precision_sklearn': 0.07956767989145569, 'roc_auc': 0.7077484199733268, 'brier': 0.10730599614290107, 'confusion_matrix_tn_fp_fn_tp': [285548, 5113, 2277, 1005], 'false_alert_rate_per_background_day': 0.01759093927289867, 'missed_events': 2277, 'false_alerts': 5113}",wildfire-screen-random_forest-s42,random_forest,150000,capped_150000,296878,23.25385710000046,42,screen probabilities are uncalibrated; threshold selected on validation F2
296878,0.01358807321526014,0.7377078440785457,0.9638807860467936,0.1781349244538543,0.4588497768963808,0.2566377816291161,0.34888981038187505,0.14075351597557828,0.7506517368075961,0.08924617372282846,"[284304, 8540, 2183, 1851]",0.029162284356175985,2183,8540,0.1472085255288691,0.2566377816291161,"{'n': 293943, 'prevalence': 0.011165430032353211, 'threshold': 0.7377078440785457, 'accuracy': 0.97078685323345, 'precision': 0.14647474343595895, 'recall': 0.3348567946374162, 'f1': 0.2038015762633287, 'f2': 0.26634675973050265, 'average_precision_sklearn': 0.0797503844763605, 'roc_auc': 0.699391460491738, 'brier': 0.0835434408379694, 'confusion_matrix_tn_fp_fn_tp': [284257, 6404, 2183, 1099], 'false_alert_rate_per_background_day': 0.022032539625199115, 'missed_events': 2183, 'false_alerts': 6404}",wildfire-screen-xgboost-s42,xgboost,150000,capped_150000,296878,2.85986690000027,42,screen probabilities are uncalibrated; threshold selected on validation F2
296878,0.01358807321526014,0.8364799872678343,0.9638268918545665,0.17736502742758156,0.45686663361427865,0.25552859618717505,0.347381912768123,0.13903044257410332,0.7543088627930434,0.13139501013276572,"[284296, 8548, 2191, 1843]",0.029189602655338678,2191,8548,0.14647909712287394,0.25552859618717505,"{'n': 293943, 'prevalence': 0.011165430032353211, 'threshold': 0.8364799872678343, 'accuracy': 0.9708650996961996, 'precision': 0.14616827438370847, 'recall': 0.3324192565508836, 'f1': 0.20305229852968545, 'f2': 0.2649087024087024, 'average_precision_sklearn': 0.08266108015388493, 'roc_auc': 0.7038783179613546, 'brier': 0.12574832205469505, 'confusion_matrix_tn_fp_fn_tp': [284288, 6373, 2191, 1091], 'false_alert_rate_per_background_day': 0.02192588616979918, 'missed_events': 2191, 'false_alerts': 6373}",wildfire-screen-lightgbm-s42,lightgbm,150000,capped_150000,296878,1.213302099999055,42,screen probabilities are uncalibrated; threshold selected on validation F2
296878,0.01358807321526014,0.8015429894372686,0.963799944758453,0.1769800789144452,0.4558750619732276,0.2549740034662045,0.34662796396124707,0.1396974446440776,0.7320120182299603,0.09119904462443346,"[284292, 8552, 2195, 1839]",0.029203261804920024,2195,8552,0.14611473065310662,0.2549740034662045,"{'n': 293943, 'prevalence': 0.011165430032353211, 'threshold': 0.8015429894372686, 'accuracy': 0.9708276774748846, 'precision': 0.14585842365850396, 'recall': 0.332114564290067, 'f1': 0.20269642026964202, 'f2': 0.26455026455026454, 'average_precision_sklearn': 0.07742792358920017, 'roc_auc': 0.6762431295071979, 'brier': 0.0854719446822114, 'confusion_matrix_tn_fp_fn_tp': [284278, 6383, 2192, 1090], 'false_alert_rate_per_background_day': 0.021960290510250773, 'missed_events': 2192, 'false_alerts': 6383}",wildfire-screen-gradient_boosting-s42,gradient_boosting,80000,capped_80000,296878,36.78673460000027,42,screen probabilities are uncalibrated; threshold selected on validation F2
296878,0.01358807321526014,0.8662440882379273,0.9637797344363678,0.1766913675295929,0.4551313832424393,0.2545580589254766,0.34606250235609004,0.14154158967431135,0.7461721816256239,0.13539120983486747,"[284289, 8555, 2198, 1836]",0.029213506167106038,2198,8555,0.14584160775280006,0.2545580589254766,"{'n': 293943, 'prevalence': 0.011165430032353211, 'threshold': 0.8662440882379273, 'accuracy': 0.970824275454765, 'precision': 0.14555436529191215, 'recall': 0.3312004875076173, 'f1': 0.2022325581395349, 'f2': 0.26388619149349385, 'average_precision_sklearn': 0.07928403931749042, 'roc_auc': 0.693835747066174, 'brier': 0.12975676687169246, 'confusion_matrix_tn_fp_fn_tp': [284280, 6381, 2195, 1087], 'false_alert_rate_per_background_day': 0.021953409642160453, 'missed_events': 2195, 'false_alerts': 6381}",wildfire-screen-catboost-s42,catboost,150000,capped_150000,296878,2.103832599999805,42,screen probabilities are uncalibrated; threshold selected on validation F2
296878,0.01358807321526014,0.7442454117536559,0.9637393137921975,0.17611394475988837,0.45364402578086266,0.2537261698440208,0.34493157914577605,0.12323450335566097,0.7377405484085579,0.09762316955009573,"[284283, 8561, 2204, 1830]",0.029233994891478057,2204,8561,0.14529575228265185,0.2537261698440208,"{'n': 293943, 'prevalence': 0.011165430032353211, 'threshold': 0.7442454117536559, 'accuracy': 0.9705725259659186, 'precision': 0.14327485380116958, 'recall': 0.3284582571602681, 'f1': 0.19951878585970756, 'f2': 0.2609916715088127, 'average_precision_sklearn': 0.07213075147152079, 'roc_auc': 0.6836370730279047, 'brier': 0.09210756577837488, 'confusion_matrix_tn_fp_fn_tp': [284215, 6446, 2204, 1078], 'false_alert_rate_per_background_day': 0.0221770378550958, 'missed_events': 2204, 'false_alerts': 6446}",wildfire-screen-small_mlp-s42,small_mlp,100000,capped_100000,296878,19.989144000001033,42,screen probabilities are uncalibrated; threshold selected on validation F2
296878,0.01358807321526014,0.8310197232983232,0.9636988931480271,0.17553652199018382,0.4521566683192861,0.252894280762565,0.343800655935462,0.14095361157849276,0.7428767518003243,0.12917595104444163,"[284277, 8567, 2210, 1824]",0.029254483615850077,2210,8567,0.1447504166336005,0.252894280762565,"{'n': 293943, 'prevalence': 0.011165430032353211, 'threshold': 0.8310197232983232, 'accuracy': 0.9706473704085486, 'precision': 0.1436, 'recall': 0.3281535648994516, 'f1': 0.19977740678909292, 'f2': 0.26105293775450844, 'average_precision_sklearn': 0.08355041468152906, 'roc_auc': 0.6897081638927428, 'brier': 0.12361434911951806, 'confusion_matrix_tn_fp_fn_tp': [284238, 6423, 2205, 1077], 'false_alert_rate_per_background_day': 0.02209790787205714, 'missed_events': 2205, 'false_alerts': 6423}",wildfire-screen-hist_gradient_boosting-s42,hist_gradient_boosting,196500,capped_196500,296878,2.8325251000005665,42,screen probabilities are uncalibrated; threshold selected on validation F2
296878,0.01358807321526014,0.8112190982389463,0.9612029183705091,0.1663694721825963,0.4625681705503223,0.24472131147540985,0.3411085112606026,0.09971851569256793,0.7167308124687679,0.07055154569044658,"[283494, 9350, 2168, 1866]",0.03192826214639877,2168,9350,0.1394202032277346,0.24472131147540985,"{'n': 293943, 'prevalence': 0.011165430032353211, 'threshold': 0.8112190982389463, 'accuracy': 0.9681843078419966, 'precision': 0.1345134874759152, 'recall': 0.34034125533211457, 'f1': 0.19281891938546522, 'f2': 0.26059163867114593, 'average_precision_sklearn': 0.06149667601730559, 'roc_auc': 0.6584911643982561, 'brier': 0.06550359051344008, 'confusion_matrix_tn_fp_fn_tp': [283474, 7187, 2165, 1117], 'false_alert_rate_per_background_day': 0.02472639948255872, 'missed_events': 2165, 'false_alerts': 7187}",wildfire-screen-adaboost-s42,adaboost,100000,capped_100000,296878,14.851124999999229,42,screen probabilities are uncalibrated; threshold selected on validation F2
296878,0.01358807321526014,0.5550322748748275,0.9633485808985509,0.17053219131941103,0.4392662369856222,0.245684575389948,0.3339993214460738,0.11561308872213913,0.7207533033522336,0.14893963859085865,"[284225, 8619, 2262, 1772]",0.02943205256040759,2262,8619,0.1400458389314787,0.245684575389948,"{'n': 293943, 'prevalence': 0.011165430032353211, 'threshold': 0.5550322748748275, 'accuracy': 0.9704024249599412, 'precision': 0.1368632707774799, 'recall': 0.3110907982937233, 'f1': 0.19009495438465834, 'f2': 0.24795997668544786, 'average_precision_sklearn': 0.07813186995086045, 'roc_auc': 0.6626661620361286, 'brier': 0.14320226809779574, 'confusion_matrix_tn_fp_fn_tp': [284222, 6439, 2261, 1021], 'false_alert_rate_per_background_day': 0.022152954816779685, 'missed_events': 2261, 'false_alerts': 6439}",wildfire-screen-logistic_regression-s42,logistic_regression,196500,capped_196500,296878,4.847236300000077,42,screen probabilities are uncalibrated; threshold selected on validation F2
