model,evaluation,training_scope,n,mae,rmse,nse,kge,bias
random_forest,matched_test_days,full classical rows,46349,30.903425795283724,290.5844275921028,0.6561696094101992,0.6960262932527923,-8.058604828281489
lstm,matched_test_days,eligible sequences,46349,46.11065665463227,609.7487570896354,-0.5139147995536346,0.2897610873090083,8.435939165658548
persistence,matched_test_days,baseline,46349,35.71338645225514,335.12750333061103,0.542680490240076,0.7713321871026215,-0.010916525092903532
