catchment_id,train_coverage,validation_coverage,test_coverage,train_q95_m3_s,train_high_flow_days,validation_high_flow_days,test_high_flow_days,nonzero_train_days,negative_values,selection_score
03005,1.0,1.0,0.9720700985761227,3018.079999999988,329,174,64,6575,0,0.9720700985761227
03008,1.0,0.9813800657174151,0.9693318729463308,1254.2719999999993,329,154,49,6575,0,0.9693318729463308
03013,1.0,0.988499452354874,0.9644030668127054,131.82799999999915,329,141,31,6528,0,0.9644030668127054
03018,1.0,1.0,0.5695509309967142,1258.2929999999856,329,97,51,6554,0,0.5695509309967142
03019,1.0,0.9759036144578314,0.6757940854326396,28.75899999999998,329,93,4,2592,0,0.6757940854326396
03020,1.0,1.0,0.37130339539978097,132.2399999999994,329,25,18,4423,0,0.37130339539978097
03029,1.0,1.0,0.49123767798466594,196.50799999999953,329,27,26,3824,0,0.49123767798466594
03031,1.0,1.0,0.5646221248630887,475.65399999999914,329,60,22,6575,0,0.5646221248630887
03040,1.0,0.976998904709748,0.976998904709748,109.14999999999964,329,110,30,5948,0,0.976998904709748
03045,1.0,1.0,0.604052573932092,1510.2609999999984,329,113,17,6575,0,0.604052573932092
03048,1.0,1.0,0.97973713033954,473.9609999999986,329,131,44,6574,0,0.97973713033954
03055,1.0,1.0,0.7776560788608982,789.4739999999991,329,80,31,6479,0,0.7776560788608982
03068,1.0,1.0,0.5783132530120482,316.95899999999955,329,23,27,6540,0,0.5783132530120482
03071,1.0,1.0,0.7360350492880613,3589.4769999999944,329,103,100,6553,0,0.7360350492880613
03075,1.0,1.0,0.8833515881708652,12077.899999999961,329,116,48,6575,0,0.8833515881708652
03083,1.0,1.0,0.9244249726177437,105.02999999999993,329,129,50,6004,0,0.9244249726177437
03092,1.0,0.9978094194961665,0.5558598028477546,607.1199999999997,329,87,47,6575,0,0.5558598028477546
03094,1.0,1.0,0.9802847754654983,236.85599999999934,329,134,46,6575,0,0.9802847754654983
03103,1.0,1.0,0.7836801752464403,4888.070999999997,329,139,21,6575,0,0.7836801752464403
03109,1.0,0.9874041621029573,0.524644030668127,602.9739999999981,329,64,51,4674,0,0.524644030668127
04004,1.0,1.0,0.9819277108433735,895.6259999999965,329,90,61,6192,0,0.9819277108433735
04007,1.0,1.0,0.9693318729463308,98.06799999999967,329,131,58,5767,0,0.9693318729463308
04012,1.0,1.0,0.976998904709748,16.824999999999964,329,175,49,5676,0,0.976998904709748
04013,1.0,1.0,0.8170865279299014,1009.5999999999985,329,74,219,6012,0,0.8170865279299014
04017,1.0,1.0,0.895947426067908,3086.099999999995,329,57,48,6575,0,0.895947426067908
04021,1.0,1.0,0.9846659364731654,704.7529999999999,329,45,46,6226,0,0.9846659364731654
04022,1.0,1.0,0.9764512595837898,242.46399999999818,329,127,46,6060,0,0.9764512595837898
04026,1.0,1.0,1.0,2276.117999999998,329,64,67,2163,0,1.0
04028,1.0,1.0,0.9622124863088719,50.42999999999993,329,109,46,6054,0,0.9622124863088719
04030,1.0,1.0,0.9846659364731654,86.76,328,199,116,6098,0,0.9846659364731654
04031,1.0,1.0,0.9485213581599123,1059.081,329,92,47,6154,0,0.9485213581599123
04038,1.0,1.0,0.9759036144578314,643.1399999999994,329,25,31,2589,0,0.9759036144578314
04049,1.0,0.7831325301204819,0.5903614457831325,219.0529999999999,329,50,37,1773,0,0.5903614457831325
04050,1.0,1.0,0.6418400876232202,886.7699999999986,329,100,259,6297,0,0.6418400876232202
04054,1.0,1.0,0.9934282584884995,707.8819999999973,329,40,37,2285,0,0.9934282584884995
04060,1.0,0.6823658269441402,0.436473165388828,2041.2370999999898,329,38,5,6186,0,0.436473165388828
04061,1.0,1.0,0.9846659364731654,66.2289999999999,329,113,63,1596,0,0.9846659364731654
04062,1.0,1.0,0.9808324205914567,2132.5869999999923,329,65,18,6575,0,0.9808324205914567
04063,1.0,1.0,0.9830230010952903,469.3209999999993,329,60,70,6086,0,0.9830230010952903
04064,1.0,1.0,0.9912376779846659,1027.115999999997,329,60,47,4665,0,0.9912376779846659
05002,1.0,1.0,0.9622124863088719,799.3799999999995,329,62,49,6575,0,0.9622124863088719
05007,1.0,1.0,0.69934282584885,67.80199999999998,329,65,79,3965,0,0.69934282584885
05008,1.0,1.0,0.8899233296823659,699.2309999999987,329,24,33,6379,0,0.8899233296823659
05010,1.0,1.0,0.9633077765607886,408.1099999999995,329,76,61,6574,0,0.9633077765607886
05012,1.0,0.6911281489594743,0.6347207009857613,723.7799999999996,329,39,19,6366,0,0.6347207009857613
05013,1.0,1.0,0.9819277108433735,370.0899999999998,329,72,83,6502,0,0.9819277108433735
05014,1.0,1.0,0.5991237677984665,36.51199999999997,329,54,32,2144,0,0.5991237677984665
05015,1.0,1.0,0.5328587075575028,185.92999999999992,329,284,99,6521,0,0.5328587075575028
05018,1.0,1.0,0.9622124863088719,35.35799999999996,329,48,49,6558,0,0.9622124863088719
05022,1.0,1.0,0.9616648411829135,28.362999999999992,329,62,60,6515,0,0.9616648411829135
05027,1.0,1.0,0.5854326396495071,92.51599999999962,329,67,26,5589,0,0.5854326396495071
05028,1.0,0.8510405257393209,0.8422782037239869,379.93999999999795,329,33,39,6575,0,0.8422782037239869
05029,1.0,1.0,0.7387732749178533,658.3,327,40,47,4961,0,0.7387732749178533
06001,1.0,1.0,1.0,449.87999999999954,329,71,81,6575,0,1.0
