catchment_id,model,n,mae,rmse,nse,kge,bias
03005,xgboost,1614,129.3687805908271,556.8665109459613,0.8039634079911452,0.7986691017266828,-42.25517637691231
03005,lstm,1614,160.33164443383905,632.4811156189439,0.7471109248231071,0.8083495520609677,-8.204838812020013
03005,persistence,1614,169.5643172991154,713.953598781031,0.6777633631312253,0.8388805715793985,0.024591077511490794
03008,xgboost,1563,69.91485950781095,419.3700664502936,0.62525655921957,0.6965844548632807,-20.03532392794935
03008,lstm,1563,92.03313420912203,525.5573273005958,0.4114554072777389,0.7059812004769799,14.34907779681019
03008,persistence,1563,94.82964184458868,533.3209219120029,0.3939388779516265,0.6969672771791195,0.022271272317004067
03013,xgboost,1614,11.6222285867404,90.30339170158491,0.24678093031418402,0.22615878333359218,-4.76993296516004
03013,lstm,1614,16.907227691073697,107.27268512924807,-0.06289774406511928,0.38366148969240077,1.924386381659809
03013,persistence,1614,15.62557590953184,116.20598729422771,-0.24729790215760672,0.37634687884497986,0.004907063096577055
03040,xgboost,1614,6.867852641675016,32.76292237811385,0.4757205944075311,0.5467850590205482,-1.3519845135438515
03040,lstm,1614,11.58491326002531,37.26996017923993,0.32155383789574843,0.5151777255537706,0.17955362313003492
03040,persistence,1614,8.169138789730887,42.16571183929428,0.13160681704923027,0.5657905711143252,0.004454770828268342
03048,xgboost,1614,25.507166927653913,170.089001892419,0.4229999183276444,0.4830657417927101,-6.473712082969047
03048,lstm,1614,36.2648372955094,235.221046548805,-0.10350870936723822,0.46609428060268,1.7691157762944476
03048,persistence,1614,35.86024765002794,235.27418662472328,-0.1040073650900597,0.44798935558813724,0.014411400435803991
03094,xgboost,1614,15.691005965168157,97.51721901003407,0.451520810398198,0.573647085106181,-2.9159738154355566
03094,lstm,1614,28.038912331526163,171.774410672178,-0.7018233317214031,0.23801307152150009,11.422684456853027
03094,persistence,1614,20.900848721039782,127.2455208150844,0.06613833870952857,0.5330631113105155,0.007973977845840738
04004,xgboost,1548,39.207175648439694,201.6631774976641,0.7033504502910424,0.665750955437006,-15.412153069442482
04004,lstm,1548,52.39380752063267,303.1107170754183,0.3298175270468299,0.6303022695664827,3.3460222218638087
04004,persistence,1548,40.718979407479694,205.32497278626352,0.6924795300853912,0.8457476068484369,-0.6361111253114942
04007,xgboost,1334,4.505341784433978,18.21025918365454,0.7739571203910794,0.807618168598014,-0.9462276381728972
04007,lstm,1334,11.119608237557504,22.52727327031446,0.6540798729585954,0.5892866473417293,6.521903293690403
04007,persistence,1334,5.208485801806157,23.176693127632756,0.6338479094629301,0.8169537501562731,0.04676162008045317
04012,xgboost,1417,1.4651963192948458,9.300207199514166,0.4463483668098227,0.6333874139376796,-0.21550361860911554
04012,lstm,1417,2.6832910389885907,10.222299107198255,0.33111954557433043,0.42271295368157935,-0.11650394456396662
04012,persistence,1417,1.5380451422008563,10.58487760522576,0.2828285078662427,0.6414200664558353,-0.0003034579728637351
04021,xgboost,1531,34.428095902023315,113.72394030626775,0.6997422355280801,0.8173989468416003,1.6007528050585125
04021,lstm,1531,39.46332557165568,120.69560715673653,0.6618001762475982,0.8072652821540596,6.6970018005931715
04021,persistence,1531,28.17968629404737,121.47992364873089,0.6573904456628035,0.8286952228314022,0.0
04022,xgboost,1337,10.453202799361462,49.99538970874241,0.7392872571628275,0.7717904475727367,-1.393958377254712
04022,lstm,1337,16.431083052999373,52.5749156947432,0.7116901284855148,0.7119736666671499,3.586548451515348
04022,persistence,1337,12.50893037065741,67.61288276097326,0.5231725502330307,0.7615826863125821,0.007524308109782754
04026,xgboost,1826,41.50351864021284,162.07903536922802,0.9459959536099964,0.9459463080063134,-10.085272605309545
04026,lstm,1826,59.56579182293574,212.68217350390057,0.9070103110551747,0.8376413187403428,-28.952619521350773
04026,persistence,1826,58.91924426589581,193.3867889461006,0.9231177260997812,0.9615588630498902,0.0
04028,xgboost,1216,2.3170378938270293,11.268990077302012,0.512346881888728,0.6902791815664899,-0.007079154632463686
04028,lstm,1216,6.461714689668856,12.362690209955124,0.413096113030856,0.062301963138000405,4.8764611917891
04028,persistence,1216,2.6286759671363,13.438533601033376,0.3065026983511606,0.6532357644298921,0.009218750129404821
04030,xgboost,1427,12.602704435104688,89.9060119492233,0.6173644291662026,0.49411843670101907,-6.986151695085593
04030,lstm,1427,17.04270345856029,90.42745776257789,0.6129130622143717,0.7820770095871933,-0.8935283870027043
