model,evaluation,calibration,n,prevalence,threshold,accuracy,precision,recall,f1,f2,average_precision_sklearn,roc_auc,brier,confusion_matrix_tn_fp_fn_tp,false_positive_fraction_of_negative_samples,false_negative_samples,false_positive_samples,score_interpretation
separate_classical_classifier,matched_test_days,validation Platt calibration,46349,0.027530259552525405,0.13507359650769765,0.972426589570433,0.49954995499549953,0.8699059561128527,0.6346483704974271,0.7575757575757575,0.7904888681520267,0.9853064207161812,0.011186773494518,"[43961, 1112, 166, 1110]",0.02467108912209083,166,1112,
LSTM_event_head,matched_test_days,uncalibrated weighted-loss score,46349,0.027530259552525405,0.8355128020048141,0.9646594317029493,0.42979053529868116,0.8683385579937304,0.5749870264660093,0.7211663629263213,0.6927746898653252,0.9789697305388327,0.07042171221959011,"[43603, 1470, 168, 1108]",0.032613759900605686,168,1470,
random_forest_regression_threshold,matched_test_days,not probability,46349,0.027530259552525405,0.5000000000000001,0.9858249368918424,0.7675021607605877,0.6959247648902821,0.7299630086313194,0.7091518926689028,0.7779350400911155,0.9727073538036902,,"[44804, 269, 388, 888]",0.005968096199498591,388,269,"q forecast / (q forecast + training q95); ranking score, not probability"
lstm_regression_threshold,matched_test_days,not probability,46349,0.027530259552525405,0.5000000000000001,0.9828043754989321,0.7070008643042351,0.6410658307210031,0.6724208795725442,0.6532502795080658,0.7029190396319969,0.9745426732683803,,"[44734, 339, 458, 818]",0.007521132385241719,458,339,"q forecast / (q forecast + training q95); ranking score, not probability"
