FID,src_name,src_link,ev_id,ev_date,ev_time,ev_title,ev_desc,loc_desc,loc_accu,ls_cat,ls_trig,ls_size,ls_setting,fatalities,injuries,storm_name,photo_link,comments,ev_imp_src,ev_imp_id,latitude,longitude,ctry_name,ctry_code,div_name,gaz_point,gaz_dist,sub_date,edit_date,geometry_lon,geometry_lat,event_date,exact_duplicate,proxy_storm_group
186,The New Indian Express,https://www.newindianexpress.com/states/odisha/2018/oct/13/landslide-kills-12-in-odisha-1884816.html,14185,1539388800000.0,unknown,Rayagada Block Landslide,Cyclone Titli caused flooding and a landslide in Baraghara village of Gangabada panchayat in Rayagada block of Gajapati district which killed 16 people.,Rayagada block of Gajapati district,5km,landslide,tropical_cyclone,large,unknown,16,0,Cyclone Titli,https://images.newindianexpress.com/uploads/user/imagelibrary/2018/10/13/w900X450/Rampant_change.jpg,Within 25 km of events in previous years.,GLC, ,18.97213889,84.15813889,India,IN,Orissa,Raygad,1.23,1589500800000.0,1606348800000,84.158138889,18.9721388890001,2018-10-13 00:00:00+00:00,False,named:cyclone titli
199,The Kashmir Press,https://thekashmirpress.com/2018/08/13/himachal-pradesh-landslide-4-of-family-including-2-children-buried-alive/,14117,1534118400000.0,03:00,Chakla Landslide,"A mudslide occurred in Chakla at around 3am on the 13th, burying a family of four in their home in their sleep.","Chakla, Himachal Pradesh, IND",25km,mudslide,rain,medium,unknown,4,0, , , ,GLC, ,32.02547867,76.16692599,India,IN,Himachal Pradesh,Katnor,7.93,1590019200000.0,1606348800000,76.1669259890001,32.025478671,2018-08-13 00:00:00+00:00,False,prox:64:152:5918
216,The New Indian Express,https://www.newindianexpress.com/states/odisha/2018/oct/13/cyclone-titli-over-three-lakh-affected-in-cuttack-1884833.html,14090,1539302400000.0,unknown,Salepur Block,Man died after heavy rain from Cyclone Titli caused a wall to collapse in Salepur Block.,"Salepur Block, Cuttack, Odisha, IND",5km,landslide,rain,medium,unknown,1,0,Cyclone Titli, , ,GLC, ,20.47818279,86.106255,India,IN,Orissa,Salipur,1.26,1590624000000.0,1606348800000,86.1062549950001,20.4781827940001,2018-10-12 00:00:00+00:00,False,named:cyclone titli
227,The Hindu,https://www.thehindu.com/news/national/kerala/highlands-face-threat-from-lateral-spread/article25222346.ece,14138,1539561600000.0,unknown,Lateral Spread in Thrissur,Heavy rains that caused devastation in August continued to cause lateral spread and land subsidence in the highlands of Kerala. It can be seen by the cracks in a house at Chittakunnu in Thrissur.,Across the highlands of Kerala,50km,creep,continuous_rain,large,unknown,0,0, ,https://www.thehindu.com/news/national/kerala/bk8yyu/article25222345.ece/ALTERNATES/FREE_660/15tvSUBSIDENCE, ,GLC, ,10.52371038,76.2145574,India,IN,Kerala,Trichur,1.84,1590624000000.0,1606348800000,76.2145573970001,10.523710378,2018-10-15 00:00:00+00:00,False,prox:21:152:5939
234,Mathrubhumi,https://english.mathrubhumi.com/news/kerala/mudslide-kills-seven-in-malappuram-1.3063936,14140,1534291200000.0,01:00,Peringavu Landslides,Seven people were killed when mudslides destroyed a house at Peringavu.,"SH-22, Chembukkav, Thrissur, Kerala, 680008",5km,mudslide,continuous_rain,large,unknown,7,0, , ,https://english.manoramaonline.com/news/kerala/2018/08/15/kondotty-landlside-house-buried.html  https://www.thehindu.com/news/national/kerala/rain-continues-to-pound-malappuram/article24696358.ece,GLC, ,10.53762479,76.21576213,India,IN,Kerala,Trichur,3.36,1590105600000.0,1606348800000,76.2157621320001,10.537624791,2018-08-15 00:00:00+00:00,False,prox:21:152:5919
247,The Hindu,https://www.thehindu.com/news/cities/Thiruvananthapuram/villagers-seek-closure-of-quarry/article25221821.ece,14093,1539475200000.0,unknown,Konni Quarry Landslide,Flooding caused landslides near illegal granite quarrying at Thudiyurulippara near Pramadom in Konni Taluk.,"near a granite quarrying in the environmentally fragile Thudiyurulippara, near Pramadom, Konni",10km,landslide,rain,medium,natural_slope,0,0, , , ,GLC, ,9.22979437,76.85092558,India,IN,Kerala,Pattanapuram,16.32,1590624000000.0,1606348800000,76.8509255820001,9.22979436600003,2018-10-14 00:00:00+00:00,False,prox:18:153:5939
249,The Hindu,https://www.thehindu.com/news/national/kerala/another-landslip-shocks-adyanpara/article24682271.ece,14065,1534118400000.0,14:00,Adyanpara Landslide,"A landslide occurred near Adyanpara in the Chaliyar panchayat after water in the Kanhirapuzha tributary rose, causing flooding and damaging houses.","Nilambur-Adyanpara Rd near Chaliyar Panchaya, Kerala, IND",25km,landslide,rain,medium,unknown,0,0, , , ,GLC, ,11.30665848,76.20771335,India,IN,Kerala,Nilambur,4.39,1589932800000.0,1606348800000,76.2077133540001,11.306658479,2018-08-13 00:00:00+00:00,False,prox:22:152:5918
250,Biharprabha,https://news.biharprabha.com/2018/08/landslide-damages-century-old-railway-track-in-west-bengal/,14215,1533168000000.0,unknown,Kurseong Landslide,"A landslide occurred in Kurseong, approximately 32 km away from Darjeeling hills. This landslide damaged a century old railway track and blocked the highway northbound to Darjeeling.","Kurseong, 32 kilometres (20 miles) away from the popular hill station of Darjeeling.",10km,landslide,rain,medium,above_road,0,0, , ,Many landslides over the years concentrated within this city.,GLC, ,26.87653701,88.27487677,India,IN,West Bengal,Kurseong,0.92,1588377600000.0,1606348800000,88.2748767720001,26.876537007,2018-08-02 00:00:00+00:00,False,prox:53:176:5915
251,Daijy World,http://www.daijiworld.com/news/newsDisplay.aspx?newsID=523562,14071,1534118400000.0,unknown,Kandaghat Landslide,"A landslide in the Chakla village in Kandaghat buried 5 people, killing one.","Chakla Village, Kandaghat, Shimla, Himachal Pradesh, IND",1km,landslide,rain,medium,unknown,1,4, , , ,GLC, ,31.05513474,77.02399952,India,IN,Himachal Pradesh,Simla,5.32,1589587200000.0,1606348800000,77.0239995160001,31.055134743,2018-08-13 00:00:00+00:00,False,prox:62:154:5918
261,Barak Bulletin,https://www.barakbulletin.com/en_US/track-cleared-trains-are-running-again-in-badarpur-lumding-route/,14086,1545091200000.0,12:00,Rock fall on Railroad tracks between Phiding and Mahur Stations,A rock fall occurred at noon on the railroad tracks between Phiding and Mahur stations. The route was delayed until the tracks were cleared at 2:44 pm the same day.,Railway between Phiding and Mahur station in Badarpur.,5km,rock_fall,rain,small,above_road,0,0, , , ,GLC, ,25.19640994,93.13430585,India,IN,Assam,Mahur,2.93,1588291200000.0,1606348800000,93.1343058460001,25.196409943,2018-12-18 00:00:00+00:00,False,prox:50:186:5961
